shift_id,staff_id,unit,shift_date,shift_start,shift_end,shift_type,role,status,error_reason
SH000106,,ICU,2026-02-25,2026-02-25 07:00:00,2026-02-25 19:00:00,day,CNA,open,Missing required fields
SH000326,,ER,2026-03-01,2026-03-01 19:00:00,2026-03-02 07:00:00,night,LPN,open,Missing required fields
SH000097,,MEDSURG,2026-02-24,2026-02-24 19:00:00,2026-02-25 07:00:00,night,LPN,open,Missing required fields
SH000106,,ICU,2026-02-25,2026-02-25 07:00:00,2026-02-25 19:00:00,day,CNA,open,Missing required fields
SH000326,,ER,2026-03-01,2026-03-01 19:00:00,2026-03-02 07:00:00,night,LPN,open,Missing required fields
SH000097,,MEDSURG,2026-02-24,2026-02-24 19:00:00,2026-02-25 07:00:00,night,LPN,open,Missing required fields
SH000106,,ICU,2026-02-25,2026-02-25 07:00:00,2026-02-25 19:00:00,day,CNA,open,Missing required fields
SH000326,,ER,2026-03-01,2026-03-01 19:00:00,2026-03-02 07:00:00,night,LPN,open,Missing required fields
SH000097,,MEDSURG,2026-02-24,2026-02-24 19:00:00,2026-02-25 07:00:00,night,LPN,open,Missing required fields
SH000106,,ICU,2026-02-25,2026-02-25 07:00:00,2026-02-25 19:00:00,day,CNA,open,Missing required fields
SH000326,,ER,2026-03-01,2026-03-01 19:00:00,2026-03-02 07:00:00,night,LPN,open,Missing required fields
SH000097,,MEDSURG,2026-02-24,2026-02-24 19:00:00,2026-02-25 07:00:00,night,LPN,open,Missing required fields
SH000106,,ICU,2026-02-25,2026-02-25 07:00:00,2026-02-25 19:00:00,day,CNA,open,Missing required fields
SH000326,,ER,2026-03-01,2026-03-01 19:00:00,2026-03-02 07:00:00,night,LPN,open,Missing required fields
SH000097,,MEDSURG,2026-02-24,2026-02-24 19:00:00,2026-02-25 07:00:00,night,LPN,open,Missing required fields
SH000106,,ICU,2026-02-25,2026-02-25 07:00:00,2026-02-25 19:00:00,day,CNA,open,Missing required fields
SH000326,,ER,2026-03-01,2026-03-01 19:00:00,2026-03-02 07:00:00,night,LPN,open,Missing required fields
SH000097,,MEDSURG,2026-02-24,2026-02-24 19:00:00,2026-02-25 07:00:00,night,LPN,open,Missing required fields
SH000106,,ICU,2026-02-25,2026-02-25 07:00:00,2026-02-25 19:00:00,day,CNA,open,Missing required fields
SH000326,,ER,2026-03-01,2026-03-01 19:00:00,2026-03-02 07:00:00,night,LPN,open,Missing required fields
SH000097,,MEDSURG,2026-02-24,2026-02-24 19:00:00,2026-02-25 07:00:00,night,LPN,open,Missing required fields
SH000106,,ICU,2026-02-25,2026-02-25 07:00:00,2026-02-25 19:00:00,day,CNA,open,Missing required fields
SH000326,,ER,2026-03-01,2026-03-01 19:00:00,2026-03-02 07:00:00,night,LPN,open,Missing required fields
SH000097,,MEDSURG,2026-02-24,2026-02-24 19:00:00,2026-02-25 07:00:00,night,LPN,open,Missing required fields
SH000106,,ICU,2026-02-25,2026-02-25 07:00:00,2026-02-25 19:00:00,day,CNA,open,Missing required fields
SH000326,,ER,2026-03-01,2026-03-01 19:00:00,2026-03-02 07:00:00,night,LPN,open,Missing required fields
SH000097,,MEDSURG,2026-02-24,2026-02-24 19:00:00,2026-02-25 07:00:00,night,LPN,open,Missing required fields
SH000106,,ICU,2026-02-25,2026-02-25 07:00:00,2026-02-25 19:00:00,day,CNA,open,Missing required fields
SH000326,,ER,2026-03-01,2026-03-01 19:00:00,2026-03-02 07:00:00,night,LPN,open,Missing required fields
SH000097,,MEDSURG,2026-02-24,2026-02-24 19:00:00,2026-02-25 07:00:00,night,LPN,open,Missing required fields
SH000106,,ICU,2026-02-25,2026-02-25 07:00:00,2026-02-25 19:00:00,day,CNA,open,Missing required fields
SH000326,,ER,2026-03-01,2026-03-01 19:00:00,2026-03-02 07:00:00,night,LPN,open,Missing required fields
SH000097,,MEDSURG,2026-02-24,2026-02-24 19:00:00,2026-02-25 07:00:00,night,LPN,open,Missing required fields
SH000106,,ICU,2026-02-25,2026-02-25 07:00:00,2026-02-25 19:00:00,day,CNA,open,Missing required fields
SH000326,,ER,2026-03-01,2026-03-01 19:00:00,2026-03-02 07:00:00,night,LPN,open,Missing required fields
SH000097,,MEDSURG,2026-02-24,2026-02-24 19:00:00,2026-02-25 07:00:00,night,LPN,open,Missing required fields
SH000106,,ICU,2026-02-25,2026-02-25 07:00:00,2026-02-25 19:00:00,day,CNA,open,Missing required fields
SH000326,,ER,2026-03-01,2026-03-01 19:00:00,2026-03-02 07:00:00,night,LPN,open,Missing required fields
